123-1CON	123-2CON	123-3NO0	123-4NO7	126-1CON	126-2CON	126-3NO0	126-4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
3864.26	3882.5	4390.93	3545.8	3791.99	3372.4	3909.44	3640.8	3504.35	4177.46	3561.93	3950.05
4994.97	5683.92	6555.53	6749.61	6036.92	6354.26	5961.87	5740.87	6488.04	6420.94	6183.35	5700.09
1057.87	1390.98	1197.63	1159.87	771.117	1074.14	926.795	904.114	1149.93	1172.5	932.548	954.998
6923.98	6915.13	7882.82	7395.7	6849.04	7065.86	7690.59	7247.76	7087.97	6160.74	6949.26	6443.5
5176.19	5234.02	6655.97	7788.86	7005.19	6853.4	6908.63	6704.24	6952.44	6477.27	6963.66	6529.58
2666.87	3375.95	3125.88	3062.61	2997.17	3209.55	3315.79	2788.87	2956.97	3228.35	2828.36	2692.12
4746.58	5323.43	4863.83	4278.03	3897.74	4326.33	4324.48	3943.84	3795.18	3586.23	3534.56	3650.97
7816.64	7342.12	7567.42	7146.59	8040.93	7526.27	8047.58	7605.75	6219.24	6551.51	6566.41	5945.09
6695.16	5969.04	7034.81	7475.34	8106.45	7491.4	8542.55	8104.06	6553.01	6479.69	6503.21	6295.02
7023.88	6994.43	8148.63	8523.05	8784.8	8528.17	9379.79	8737.67	7838.82	7724.56	7326.47	7562.95
2566.03	3529.72	4073.97	5557.34	4493.36	5023.35	4546.73	4031.83	5942.87	5462.22	6093.54	5623.64
1513.83	1103.81	1836.52	1336.83	1925.24	1112.85	2102.59	1653.86	986.732	1878.69	953.611	1432.88
10164.9	9160.02	9655.95	9004.59	9087.07	8505.3	9255.72	8939.52	8368.83	7359.84	8490.79	8071.18
4603.78	4878.62	5748.52	6911.17	5303.29	6108.19	5207.01	3681.48	6548.73	6472.47	6608.9	6974.21
4418.03	4456.51	4553.62	5598.6	4474.13	4734.95	4373.28	5032.76	4919.06	4304.32	5254.07	4691.86
4497.24	6053.09	6673.23	6553.8	4732.44	5981.07	5289.88	4459.87	6406.71	5885.77	7175.3	6358.84
7955.12	7647.7	8647.27	8502.88	9610.96	8691.26	9961.77	9413.97	8065.39	7284.33	7698.18	7372.27
7032.08	6832.61	7387.01	7592.32	6994.16	6596.81	6914.39	6472.38	7105.45	6610.91	7383.78	6691.55
2802.42	3537.03	3073.79	2672.71	3934.41	3724.8	4086.7	3412.96	2277.24	2031.12	2052.86	2186.85
2893.45	2331.86	3062.84	1926.61	3350.27	1868.1	3581.6	2069.77	1564.17	2445.49	1843.93	2132.02
8437.15	7036.8	8418.37	9097.75	8121.07	7934.45	8706.53	9215.82	9365.93	8835.64	9023.35	8661.29
5291.68	4821.85	6089.48	6055.71	4818.75	5028.18	5217.83	5742.77	6064.41	6485.17	6555.51	6707.62
6105.81	7304.6	8816.31	9707.55	4460.31	5704.81	4700.91	5808.8	10015.7	8903.9	10345.4	9495.88
8958.33	8587	9450.01	9071.09	9572.46	9008.44	9758.4	9891.93	8825.39	8854.84	9077.98	8823.44
3741.82	3639.31	3920.03	3512.96	4539.14	3331.45	4637.48	3852.47	2981.32	3053.58	2869.67	3530.57
6338.83	6190.89	6672.34	7140.43	7332.35	6962.54	7238.16	6678.1	6239.99	6100.36	6083.15	6016.42
1820.14	1352.14	1529.04	1365.73	1671.95	1045.55	1346.99	1111.64	940.728	1171.44	867.561	981.172
3988.61	5097.03	5292.16	5656.05	4835.86	5487.98	4793.27	4009.19	5646.96	5673.97	5892.43	5516.88
2215.74	2463.84	2813.57	2178.04	2899.43	2177.34	3090.52	2725.48	2001.66	2350.73	1892.38	2405.98
8291.67	8389.82	9182.88	9353.01	9355.96	9095.96	9529.71	9067.65	8521.04	8122.64	8602.8	8268.69
1230.9	1070.62	1568.56	2084.07	1602.31	1759.06	1747.55	1797.82	2099.09	2193.43	2561.52	2124.13
2545.38	2689.05	2616.73	2276.46	2597.57	2207.19	2742.48	2458.49	2488.92	2632.71	2277.24	2445.49
2623.54	2401.35	2604.43	2880.69	2450.14	2806.42	2561.2	1963.51	2767.21	3570.04	2674.56	2242.2
1306	1301.31	1494.96	1651.45	1613.98	1598.32	1770.3	1887.86	1300.72	1740.29	1394.37	1365.63
2938.16	3263.81	3119.87	3397.03	4206.1	3908.47	4841.65	4248.22	2856.35	3144.25	2639.36	2936.28
1982.55	2040.03	2144.96	2434.59	2639.6	2298.5	2715.66	2391.18	2433.52	2584.35	2476.24	2600.18
959.087	734.011	1002.49	889.258	761.849	612.937	799.714	776.855	825.119	1103.97	1236.72	1094.13
1316.84	2237.25	2269.36	3010.42	1810.43	2665.23	1881.05	2182.42	3292.4	2211.29	3223.4	2030.89
1409.77	1326.3	1829.57	1392.05	2346.9	1389.54	2339.09	1684.47	966.412	1404.98	919.805	1516.8
2112.49	2082.65	2399.01	2800.51	3152.56	2902	3044.63	3196.2	2401.31	2339.67	2669.52	2522.37
498.995	331.826	529.331	469.547	554.844	449.299	609.526	505.714	254.567	333.157	347.88	355.121
1182.21	166.345	1180.39	659.24	2034.26	363.366	1929.24	1055.13	82.0436	1069.2	250.735	860.07
269.24	426.271	362.826	375.533	259.261	377.44	324.569	333.748	505.276	598.147	337.007	475.459
1191.15	1416.31	1563.09	1606.62	1237.13	1370.52	1155.84	1008.38	1334.16	1804.52	1133.99	1231.84
1002.07	1027.95	1287.76	1299.15	1355.37	1274.76	1362.49	1206.07	1173.36	1515.6	1345.96	1583.98
500.559	650.765	674.091	658.861	546.42	620.677	562.686	699.011	941.419	1012.91	952.19	1030.22
1417.77	1457.52	1580.78	1827.73	1579.62	2132.07	1618.76	2215.26	2810.64	2256.13	2585.79	2273.53
699.438	1142.86	771.134	841.533	1048.01	1105.03	1057.8	892	609.749	794.328	318.252	690.311
4294.54	4244.2	4505.43	3986.13	3703.74	3552.06	3971.68	3616.63	3773.01	4237.54	3970.49	3554.69
1511.6	1757.76	1827.92	1422.61	1748.55	1636.63	1865.39	1448.64	1372.59	1248.75	1235.87	1464.77
6337.49	5693.8	5898.15	6128.36	5316.17	5651.55	5250.58	4912.84	6113.65	5629.48	5854.31	6035.76
2297.6	1477.76	2336.33	1614.8	2513.92	1382.6	2541.89	1885.65	1209.33	2159.76	1622.81	2311.23
